"idseaConditionFact";"bulk";"texture";"shape";"uniformity";"score";"date";"idspot"
174;0;1;4;2;"1";"2020-04-10 06:00:00";380
175;1;1;2;2;"4";"2020-04-10 08:00:00";380
176;2;1;2;2;"7";"2020-04-11 07:00:00";380
177;1;1;1;1;"4";"2020-04-11 08:00:00";380
178;1;1;2;2;"5";"2020-04-11 11:00:00";380
179;2;1;2;2;"6";"2020-04-11 13:00:00";380
180;1;1;1;1;"3";"2020-04-11 16:00:00";380
181;2;1;2;2;"5";"2020-04-12 06:00:00";380
182;1;1;1;1;"3";"2020-04-12 08:00:00";380
183;1;2;3;2;"4";"2020-04-12 15:00:00";380
184;0;1;3;2;"2";"2020-04-09 07:00:00";386
185;1;2;3;1;"5";"2020-04-09 12:00:00";386
186;0;2;3;2;"1";"2020-04-09 17:00:00";386
187;0;1;3;0;"1";"2020-04-10 07:00:00";386
188;1;2;1;1;"2";"2020-04-10 10:00:00";386
189;2;2;3;2;"6";"2020-04-10 11:00:00";386
190;1;2;3;0;"3";"2020-04-10 14:00:00";386
191;1;1;1;1;"2";"2020-04-11 08:00:00";386
192;1;2;3;1;"4";"2020-04-11 12:00:00";386
193;0;2;3;1;"2";"2020-04-11 15:00:00";386
194;1;1;2;1;"4";"2020-04-12 08:00:00";386
195;1;3;3;0;"1";"2020-04-12 14:00:00";386
196;1;2;1;1;"3";"2020-04-12 17:00:00";386
197;0;1;3;1;"2";"2020-04-13 08:00:00";386
198;1;1;3;2;"5";"2020-04-13 09:00:00";386
199;1;2;1;1;"3";"2020-04-13 10:00:00";386
200;0;2;1;0;"1";"2020-04-13 13:00:00";386
201;1;3;3;0;"3";"2020-04-14 07:00:00";386
202;1;2;1;0;"3";"2020-04-14 09:00:00";386
203;1;3;3;0;"2";"2020-04-14 11:00:00";386
204;2;3;3;1;"5";"2020-04-14 13:00:00";386
205;1;3;1;0;"2";"2020-04-14 16:00:00";386
206;2;3;3;1;"5";"2020-04-14 17:00:00";386
207;1;1;1;2;"4";"2020-04-15 07:00:00";386
208;1;2;1;1;"2";"2020-04-15 09:00:00";386
209;1;1;1;2;"2";"2020-04-15 10:00:00";386
210;0;2;1;1;"1";"2020-04-15 16:00:00";386
211;1;1;4;2;"3";"2020-04-16 07:00:00";386
212;0;2;3;2;"1";"2020-04-16 09:00:00";386
213;0;1;4;2;"2";"2020-04-16 15:00:00";386
214;1;1;3;2;"2";"2020-04-17 10:00:00";386
215;1;1;2;2;"5";"2020-04-13 07:00:00";380
216;1;1;1;2;"4";"2020-04-13 08:00:00";380
217;1;2;3;1;"2";"2020-04-13 11:00:00";380
218;1;2;1;2;"2";"2020-04-13 13:00:00";380
219;0;2;1;0;"1";"2020-04-14 07:00:00";380
220;0;3;1;0;"1";"2020-04-14 10:00:00";380
221;1;3;2;1;"3";"2020-04-14 15:00:00";380
222;1;2;3;1;"4";"2020-04-14 16:00:00";380
223;1;2;3;1;"3";"2020-04-15 07:00:00";380
224;1;1;2;2;"6";"2020-04-15 08:00:00";380
225;1;1;3;1;"4";"2020-04-15 12:00:00";380
226;0;3;3;0;"1";"2020-04-15 14:00:00";380
227;0;1;3;2;"1";"2020-04-16 06:00:00";380
228;1;1;4;2;"4";"2020-04-16 08:00:00";380
229;0;1;3;2;"2";"2020-04-16 12:00:00";380
230;0;1;4;2;"1";"2020-04-17 07:00:00";380
231;0;1;4;2;"0";"2020-04-18 07:00:00";380
232;0;1;3;0;"1";"2020-04-19 07:00:00";380
233;0;2;3;1;"1";"2020-04-17 12:00:00";386
234;0;1;3;2;"1";"2020-04-18 06:00:00";386
235;0;2;3;2;"1";"2020-04-18 17:00:00";386
236;0;1;1;1;"1";"2020-04-19 07:00:00";386
237;1;2;3;1;"3";"2020-04-19 12:00:00";386
238;0;1;1;1;"1";"2020-04-20 08:00:00";386
239;1;2;1;0;"2";"2020-04-20 11:00:00";386
240;1;3;1;0;"2";"2020-04-20 16:00:00";386
241;1;1;1;1;"3";"2020-04-20 06:00:00";380
242;0;1;1;1;"1";"2020-04-20 09:00:00";380
243;1;2;3;1;"3";"2020-04-20 12:00:00";380
244;1;3;3;0;"2";"2020-04-20 13:00:00";380
245;0;3;3;0;"1";"2020-04-20 15:00:00";380
246;1;1;1;1;"5";"2020-04-21 07:00:00";386
247;1;2;1;0;"4";"2020-04-21 10:00:00";386
248;1;2;3;1;"5";"2020-04-21 12:00:00";386
249;1;2;3;0;"3";"2020-04-21 15:00:00";386
250;1;1;1;1;"3";"2020-04-22 07:00:00";386
251;1;1;1;1;"3";"2020-04-22 09:00:00";386
252;1;2;3;1;"6";"2020-04-22 12:00:00";386
253;1;3;3;0;"3";"2020-04-22 14:00:00";386
254;1;1;3;2;"4";"2020-04-24 07:00:00";386
255;2;1;2;2;"6";"2020-04-24 08:00:00";386
256;2;2;2;1;"6";"2020-04-24 12:00:00";386
257;1;2;3;2;"7";"2020-04-24 13:00:00";386
258;1;1;1;1;"3";"2020-04-24 07:00:00";380
259;0;2;3;0;"1";"2020-04-24 10:00:00";380
260;0;3;3;0;"1";"2020-04-24 13:00:00";380
261;1;2;3;1;"3";"2020-04-24 15:00:00";380
262;2;2;3;1;"4";"2020-04-25 06:00:00";380
263;2;2;1;1;"5";"2020-04-25 09:00:00";380
264;2;3;3;0;"4";"2020-04-25 11:00:00";380
265;1;3;3;0;"2";"2020-04-25 13:00:00";380
266;1;2;1;1;"3";"2020-04-26 07:00:00";380
267;1;2;3;1;"4";"2020-04-26 08:00:00";380
268;1;1;3;1;"6";"2020-04-26 10:00:00";380
269;1;1;3;1;"5";"2020-04-26 13:00:00";380
270;1;1;3;2;"6";"2020-04-26 15:00:00";380
271;1;1;3;1;"4";"2020-04-27 07:00:00";380
272;1;1;3;1;"3";"2020-04-27 09:00:00";380
273;1;2;3;1;"3";"2020-04-27 12:00:00";380
274;1;2;3;2;"5";"2020-04-27 15:00:00";380
275;1;2;1;1;"2";"2020-04-28 06:00:00";380
276;2;3;1;1;"3";"2020-04-28 09:00:00";380
277;1;3;3;0;"4";"2020-04-28 11:00:00";380
278;1;3;2;0;"2";"2020-04-28 14:00:00";380
279;1;2;1;1;"4";"2020-04-28 17:00:00";380
280;1;2;3;1;"4";"2020-04-29 07:00:00";380
281;1;2;1;1;"3";"2020-04-29 09:00:00";380
282;1;3;2;0;"2";"2020-04-29 11:00:00";380
283;2;3;3;1;"5";"2020-04-29 13:00:00";380
284;1;3;1;0;"3";"2020-04-29 16:00:00";380
285;1;1;1;2;"4";"2020-04-30 06:00:00";380
286;1;1;2;2;"5";"2020-04-30 09:00:00";380
287;1;2;3;2;"8";"2020-04-30 11:00:00";380
288;1;1;3;2;"7";"2020-04-30 15:00:00";380
289;1;2;3;1;"6";"2020-04-30 17:00:00";380
290;1;3;2;0;"2";"2020-04-25 06:00:00";386
291;1;3;3;0;"3";"2020-04-25 10:00:00";386
292;1;3;1;1;"3";"2020-04-25 11:00:00";386
293;1;3;3;1;"3";"2020-04-25 13:00:00";386
294;1;3;3;0;"2";"2020-04-25 16:00:00";386
295;1;2;2;1;"3";"2020-04-26 07:00:00";386
296;1;2;1;1;"3";"2020-04-26 09:00:00";386
297;1;2;3;2;"6";"2020-04-26 12:00:00";386
298;1;3;1;1;"4";"2020-04-26 15:00:00";386
299;1;2;3;2;"6";"2020-04-26 17:00:00";386
300;1;1;1;1;"3";"2020-04-27 06:00:00";386
301;1;2;2;1;"4";"2020-04-27 08:00:00";386
302;1;2;1;1;"3";"2020-04-27 10:00:00";386
303;1;2;3;0;"2";"2020-04-27 11:00:00";386
304;1;3;3;0;"2";"2020-04-27 15:00:00";386
305;1;2;1;0;"2";"2020-04-28 07:00:00";386
306;1;3;1;0;"1";"2020-04-28 08:00:00";386
307;1;3;1;0;"1";"2020-04-28 15:00:00";386
308;2;3;1;0;"4";"2020-04-28 17:00:00";386
309;2;3;2;1;"4";"2020-04-29 07:00:00";386
310;1;2;2;1;"4";"2020-04-29 09:00:00";386
311;2;3;1;0;"3";"2020-04-29 11:00:00";386
312;2;3;2;1;"5";"2020-04-29 15:00:00";386
313;1;1;3;2;"6";"2020-04-30 06:00:00";386
314;1;1;3;2;"8";"2020-04-30 08:00:00";386
315;2;1;2;2;"9";"2020-04-30 10:00:00";386
316;1;2;3;2;"7";"2020-04-30 11:00:00";386
317;1;2;1;1;"5";"2020-04-30 12:00:00";386
318;1;2;3;2;"6";"2020-04-30 14:00:00";386
319;1;2;1;1;"5";"2020-04-30 17:00:00";386
320;1;1;3;2;"3";"2020-05-02 07:00:00";386
321;0;2;3;2;"2";"2020-05-02 08:00:00";386
322;1;2;3;2;"4";"2020-05-02 11:00:00";386
323;1;3;2;2;"5";"2020-05-02 15:00:00";386
324;1;1;3;1;"4";"2020-05-03 07:00:00";386
325;1;2;3;1;"4";"2020-05-03 09:00:00";386
326;1;2;3;1;"5";"2020-05-03 12:00:00";386
327;1;2;3;0;"3";"2020-05-03 14:00:00";386
328;1;1;3;2;"6";"2020-05-04 07:00:00";386
329;1;2;3;2;"6";"2020-05-04 09:00:00";386
330;1;2;3;2;"6";"2020-05-04 12:00:00";386
331;1;3;3;1;"4";"2020-05-04 14:00:00";386
332;1;3;3;0;"2";"2020-05-04 16:00:00";386
333;1;3;3;0;"2";"2020-05-05 07:00:00";386
334;1;3;3;0;"2";"2020-05-05 09:00:00";386
335;1;2;3;1;"5";"2020-05-05 11:00:00";386
336;1;3;3;0;"2";"2020-05-05 14:00:00";386
337;1;2;3;0;"3";"2020-05-05 17:00:00";386
338;1;1;3;0;"4";"2020-05-05 17:00:00";386
339;1;1;1;1;"2";"2020-05-06 07:00:00";386
340;1;2;1;0;"1";"2020-05-06 08:00:00";386
341;0;3;3;0;"1";"2020-05-06 10:00:00";386
342;1;2;2;0;"3";"2020-05-06 12:00:00";386
343;1;1;3;0;"3";"2020-05-06 13:00:00";386
344;0;1;1;0;"2";"2020-05-06 16:00:00";386
345;0;1;1;2;"1";"2020-05-02 07:00:00";380
346;1;1;2;2;"6";"2020-05-02 10:00:00";380
347;1;1;1;2;"4";"2020-05-02 15:00:00";380
348;1;2;1;2;"3";"2020-05-02 17:00:00";380
349;1;1;3;2;"6";"2020-05-03 07:00:00";380
350;1;1;1;2;"4";"2020-05-03 11:00:00";380
351;1;1;1;2;"3";"2020-05-03 15:00:00";380
352;0;2;1;2;"2";"2020-05-03 17:00:00";380
353;1;1;1;2;"3";"2020-05-04 07:00:00";380
354;1;3;3;0;"1";"2020-05-04 11:00:00";380
355;0;4;3;0;"1";"2020-05-04 14:00:00";380
356;0;3;3;0;"2";"2020-05-04 17:00:00";380
357;1;3;3;0;"2";"2020-05-05 07:00:00";380
358;1;3;1;0;"2";"2020-05-05 08:00:00";380
359;1;1;2;2;"4";"2020-05-06 13:00:00";380
360;1;1;1;2;"3";"2020-05-06 15:00:00";380
